# Sample Inputs for Criteo CTR Prediction Frontend
# Copy and paste any of these into the UI at http://localhost:8081
# Each input consists of 39 comma-separated numeric values

# ===================================================================
# SAMPLE 1: Moderate CTR Expected (~2-5%)
# User with decent engagement, typical browsing pattern
# ===================================================================
1, 2, 5, 0, 1382, 4, 15, 2, 181, 1, 2, 0, 3, 1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0

# ===================================================================
# SAMPLE 2: Lower Activity User
# New or infrequent user with minimal engagement
# ===================================================================
0, 1, 2, 0, 500, 1, 5, 1, 50, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# ===================================================================
# SAMPLE 3: High Engagement User
# Power user with high activity across categories
# ===================================================================
5, 10, 20, 2, 5000, 10, 50, 5, 500, 3, 5, 2, 10, 2, 1, 5, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1

# ===================================================================
# SAMPLE 4: Minimal Interaction
# Almost no activity, likely bot or bounced visitor
# ===================================================================
0, 0, 1, 0, 100, 0, 1, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# ===================================================================
# SAMPLE 5: Mixed Features
# Balanced activity across different categories
# ===================================================================
3, 5, 8, 1, 2500, 6, 25, 3, 250, 2, 3, 1, 5, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1

# ===================================================================
# SAMPLE 6: Category-Rich
# User with diverse categorical features
# ===================================================================
2, 4, 7, 1, 3000, 5, 20, 3, 200, 2, 2, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30

# ===================================================================
# SAMPLE 7: Mobile User Pattern
# Typical mobile browsing behavior
# ===================================================================
2, 3, 4, 1, 800, 2, 8, 1, 80, 1, 1, 0, 2, 3, 1, 2, 3, 2, 1, 0, 2, 1, 3, 2, 0, 1, 1, 2, 1, 0, 3, 2, 1, 2, 3, 1, 0, 2, 1

# ===================================================================
# SAMPLE 8: Desktop Power User
# Heavy desktop user with long sessions
# ===================================================================
